state,avg_income_17,avg_income_18,num_sch
Alabama,41030,42710,37
Alaska,57394,60355,6
Arizona,42590,44597,36
Arkansas,41657,43325,26
California,60549,63720,259
Colorado,55604,58896,45
Connecticut,71740,74855,29
Delaware,50798,52930,7
District of Columbia,79221,81243,17
Florida,48504,50964,130
Georgia,44894,46957,69
Hawaii,53433,55214,11
Idaho,42268,44554,10
Illinois,54252,57145,100
Indiana,45244,47321,61
Iowa,47662,50175,44
Kansas,48883,51261,37
Kentucky,40904,42338,38
Louisiana,43932,46207,30
Maine,46565,48792,22
Maryland,60758,62708,35
Massachusetts,68442,71801,91
Michigan,45948,47777,65
Minnesota,54960,57371,53
Mississippi,36536,37852,18
Missouri,45342,47109,75
Montana,46199,48194,11
Nebraska,50645,52890,27
Nevada,47650,50000,17
New Hampshire,58759,61471,17
New Jersey,64983,67845,59
New Mexico,39747,41670,17
New York,65814,68657,231
North Carolina,44409,46216,73
North Dakota,52736,55788,15
Ohio,46829,48747,115
Oklahoma,43794,45843,32
Oregon,48762,51500,35
Pennsylvania,53306,56032,156
Rhode Island,52644,54431,12
South Carolina,42227,43912,39
South Dakota,49787,52633,17
Tennessee,45233,47210,63
Texas,48394,51136,143
Utah,44178,47008,27
Vermont,51697,53531,21
Virginia,55631,57964,75
Washington,58437,62209,62
West Virginia,38927,41192,27
Wisconsin,49264,51628,56
Wyoming,56524,60689,1